Año;nuevas_viviendas;ipc;ipv;salario_real;ipva
2023;34.90867063641617;129.8855885121684;99.96284010214728;100.1622560973213;111.28764881913497
2022;38.777920152759975;125.4540965138351;96.15776836997006;98.66102616376796;109.03464014295248
2021;38.02793899650763;115.74262334295283;89.54194911299834;102.44319864924682;107.64494391698423
2020;39.08947011381623;112.26996172780443;86.35485157250847;99.7049934226373;107.2358931300997
2019;37.09203286349589;112.63348971434743;84.56642543841043;104.20954706543426;105.92423948847123
2018;36.82319539710058;111.8510702325653;80.49275042632074;103.51585216643294;104.02592090249523
2017;31.33840858269893;110.00844920446302;75.43085968320763;103.79541476751686;102.34020108075524
2016;27.744277781965277;107.89788422660844;71.0373380617465;105.42315607904311;101.94352946242114
2015;21.426597321675334;108.11692695874937;67.87212922821098;105.31299439897364;102.31705741781309
2014;18.832441395944823;108.66062747881911;65.53190406298518;103.66199380241557;103.14807638485219
2013;20.39772870028391;108.82507831910986;65.33745089887925;102.85722645910865;104.38491679045836
2012;26.336021707997283;107.3134809179154;73.08350796222925;103.77304183170286;105.23692652156129
2011;37.82191402226074;104.75113427676352;84.72405806446139;104.75542521519662;104.96243191457299
2010;43.97628200296475;101.50687124801307;91.45407189337314;105.01484347181776;104.07167000365993
2009;49.610562548679674;99.71218691646474;93.3125758257048;104.22220839961614;102.99898813752719
2008;100.0;100.0;100.0;100.0;100.0
2007;208.75606140549232;96.08423741107116;101.53594244457828;98.4221884196482;95.53327305216474
